RESOURCE_ID,GENERATION_UNIT_ID,NODE_ID,AGGE_TYPE,RESOURCE_TYPE,COMMENTS,EFF_START_DT_GMT,EFF_END_DT_GMT,EFF_START_DT,EFF_END_DT
SCHNDR_1_OS2BM2,SCHNDR_1_OS2BM2,SCHINDLR_1_N021,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
BADM_7_TELEMTRD_CSPP,BADM_7_TELEMTRD_CSPP,BADM_GNODEADM,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
SP26SK_5_SLK,SP26SK_5_SLK,SP26SLAK_5_N001,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
BRU_1_GEN2,BRU_1_GEN2,BRU_GNODEGEN2,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
ALTWD_2_COAWD1,ALTWD_2_COAWD1,ALTWD1_7_N004,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
LMPR_1_G001,LMPR_1_G001,LMPR_GNODE001,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
PWRX_MALIN500_I_AS_CERT01,PWRX_MALIN500_I_AS_CERT01,MALIN_5_N101,N,TG,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
ANAHM_2_CANYN2,ANAHM_2_CANYN2,CANYONP2_7_GN001,N,GEN,Comments,2022-06-01T07:00:00-00:00,2031-01-01T07:59:59-00:00,2022-06-01T00:00:00,2030-12-31T23:59:59
ESTWND_2_OPPWD1,ESTWND_2_OPPWD1,ESTWND_7_N001,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
RICHMN_1_SOLAR,RICHMN_1_SOLAR,RICHGEN_7_N002,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
COLGNS_2_CNSSR1,COLGNS_2_CNSSR1,COLNSGN_7_N001,N,TG,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
PRNX_5_PERRINRANCH,PRNX_5_PERRINRANCH,PRNX_GNODERANCH,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
UCD_1_PL,UCD_1_PL,UCD_GNODEPL,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
TIDS_WESTLYQNTO_I_AS_CERT01,TIDS_WESTLYQNTO_I_AS_CERT01,CAPTJACK_5_N003,N,TG,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
CAVLSR_2_RSOLAR,CAVLSR_2_RSOLAR,CAVLSRGN_7_B1,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
DELAMO_2_SOLAR1,DELAMO_2_SOLAR1,DELAMO_2_N060,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
VLCNTR_6_VCEBT2,VLCNTR_6_VCEBT2,VLYCGEN_7_VCEBT2N,N,GEN,Comments,2022-03-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,2022-03-23T00:00:00,2030-12-31T23:59:59
LFN_7_LUK,LFN_7_LUK,LFN_GNODELUK,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
RIOBRV_6_UNIT 1,RIOBRV_6_UNIT 1,RIOBRVQF_6_N001,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
SCHNDR_1_FIVPTS,SCHNDR_1_FIVPTS,SCHLNDLR_7_N002,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
HIGGNS_7_QFUNTS,HIGGNS_7_QFUNTS,HIGGINS_1_N007,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
LOSMORRO_1_FACEBOOK1PV,LOSMORRO_1_FACEBOOK1PV,LOSMORRO_1_FACEBOOK1PVGNODE,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
HORSEBU_7_UNIT,HORSEBU_7_UNIT,HORSEBU_NODET,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
CHINO_2_APEBT1,CHINO_2_APEBT1,ALTAPES_7_N001,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
TURQOISE_1_PV2_UNIT,TURQOISE_1_PV2_UNIT,TURQOISE_GNODEPV2,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
BREGGO_6_SOLAR,BREGGO_6_SOLAR,BORREGO_6_N009,N,GEN,Comments,2022-02-09T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-02-09T00:00:00,2030-12-31T23:59:59
CIBOLA_1_ROUTE66,CIBOLA_1_ROUTE66,CIBOLA_1_ROUTE66GNODE,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
ELK_6_TWI,ELK_6_TWI,ELK_GNODETWI,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
